Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2017,Francisco Liriano,HOU,0,1,5,2.1,7.71,3.86,3.86,0.167,1.0,0.5710000000000001,1.0,3.86,8.3,3.49,434538,0.5448660302905225,0.12461984574436245,0.270386223981136,4.135635388725213,0.6977546081742286,0.37489057245088514,201.13571746551924,54.539340732721506,5.0
2021,Josh Hader,MIL,0,1,2,2.0,13.5,4.5,4.5,0.25,1.0,0.8,1.0,4.5,8.17,2.55,623352,0.22716178150521898,0.18070588770771556,0.16303850039988532,5.880987018676026,0.5574218910194222,0.6236402869504653,301.31292530529527,71.08860042703479,4.0
2024,Adrian Morejon,SDP,0,1,2,2.1,3.86,7.71,0.0,0.286,0.75,0.429,0.0,3.86,4.88,6.82,670970,0.25896771378762296,0.14358389438906416,0.1800726613406655,5.765978396733755,0.8352734297069844,0.6926920429035736,495.0582388694067,73.1357842523579,5.0
2018,Jonathan Holder,NYY,0,0,1,2.0,4.5,4.5,0.0,0.286,0.667,0.429,0.0,4.5,3.66,5.31,656547,0.2181496394812619,0.12710551434407447,0.3348743355072049,4.995753038930078,0.6972471412892889,0.7198845282753809,286.7185470543573,59.56976709373075,5.0
2024,Tim Mayza,NYY,0,0,3,2.1,3.86,7.71,0.0,0.25,1.0,0.625,0.0,0.0,4.88,6.18,641835,0.17677327176578198,0.1183872965069065,0.1448205476572406,2.8711937151121036,0.6611913931911081,0.3460016717178002,143.74241270059133,66.25573361292548,4.0
2022,Edwin Díaz,NYM,0,0,2,2.2,6.75,3.38,0.0,0.286,1.0,0.833,0.0,0.0,2.74,2.74,621242,0.20308957235707273,0.16305689935189657,0.28794568093393497,4.3158846628407295,0.6323870254674279,0.4097384606613683,91.39854498186428,35.22385751105254,2.0
2023,Alex Vesia,LAD,0,0,2,2.0,9.0,0.0,4.5,0.0,1.0,0.2,0.5,4.5,7.76,2.91,681911,0.14751116307068157,0.08523363315418869,0.19355137068893838,4.035243406665075,0.5390847098151231,0.6316150037823585,126.32781232068945,31.748217025198176,4.0
2023,Louis Varland,MIN,0,0,2,0.2,13.5,0.0,0.0,0.667,1.0,0.0,0.0,0.0,0.26,2.74,686973,0.16503765375301366,0.13144552989236918,0.2441822339533208,4.609424073116372,0.6876078482791463,0.5492880018028445,272.520320197358,57.116028070468744,5.0
2022,Mychal Givens,NYM,0,0,2,1.1,20.25,6.75,0.0,0.667,0.3329999999999999,0.667,0.0,13.5,0.86,0.86,571710,0.2613439493622471,0.2895903010980547,0.37819666198810586,5.1678582773691275,0.5689580888176716,0.5409978038791987,194.96350155098276,57.003506360077715,4.0
2022,Kenley Jansen,ATL,0,0,2,2.0,9.0,0.0,4.5,0.0,1.0,0.4,0.3329999999999999,4.5,7.61,3.33,445276,0.254439761627314,0.13145681660608888,0.24117210484376292,4.152296388120476,0.46950888586818207,0.6787891326522012,160.6585559895646,41.54247891960519,3.0
2017,Tyler Olson,CLE,0,0,3,2.0,9.0,0.0,0.0,0.2,1.0,0.6,0.0,0.0,1.16,2.94,621397,0.1906680938515251,0.28920542333247934,0.3063434892659477,6.699287882054434,1.1029951316395925,0.5998677624323193,437.94634053343964,79.01784312843793,4.0
2023,Joe Ryan,MIN,0,0,1,2.0,4.5,0.0,4.5,0.167,1.0,0.429,0.25,4.5,8.76,5.56,657746,0.11298471928591744,0.16397049948330514,0.20874728506194526,5.196406453185171,0.7349551413462029,0.5589223176115822,415.0929121304044,55.23054098684657,5.0
2017,David Robertson,NYY,2,0,8,13.0,11.08,2.77,1.38,0.31,0.738,0.419,0.222,4.15,3.62,2.85,502085,0.196878928677165,0.1308328732623299,0.326447179085059,4.6966028947688185,0.53436926633919,1.0100856157926197,152.0369198788289,65.83645564677963,6.0
2017,Collin McHugh,HOU,0,0,2,6.0,10.5,6.0,1.5,0.0,0.556,0.3329999999999999,0.143,4.5,4.99,4.9,543521,0.19502603813370636,0.14331398433878115,0.27552850865916595,6.67988514143976,0.9407860136979711,0.951395514797156,261.95884044204945,80.14915451938766,6.0
2017,Carlos Estévez,COL,0,0,1,0.1,27.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,-2.84,-2.84,608032,0.3076854497854831,0.17410575642998438,0.26737233714749775,4.309562954483643,0.4750185893236174,0.4848974815785979,195.4661941842109,37.952120227773385,4.0
