Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2017,Justin Wilson,CHC,0,0,1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.16,5.83,458677,1.3936403897254208,6.41969884853853,54.65304694419841,93.82063773250664,0.33472099202834366,1.3806997342781222,2436.9890310786104,178.26217891939768,5.0
2018,DJ Johnson,COL,0,0,1,0.2,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.84,-2.84,597113,-2.5419047619047617,6.0481904761904755,54.57342857142857,88.40190476190477,-0.02495238095238096,0.22085714285714286,2453.7428571428572,118.70476190476191,3.0
2019,Liam Hendriks,OAK,0,0,1,1.0,9.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.21,3.2,521230,-1.6454290053151102,6.143044798785118,54.081473044798784,93.7610478359909,-0.29255884586180714,1.1058997722095671,2309.0706150341684,176.70539104024297,4.0
2019,Roberto Osuna,HOU,1,0,9,10.0,8.1,4.5,0.9,0.222,0.755,0.25,0.0559999999999999,3.6,4.21,6.49,532077,-0.7054285714285714,6.174550264550264,54.50503703703704,92.07343915343915,-0.30533333333333335,1.126878306878307,2374.4214437367305,182.9915343915344,6.0
2017,Matt Belisle,MIN,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.3329999999999999,0.0,0.0,3.16,6.72,279571,-2.6928708644610455,6.200864461045891,53.61704375667022,87.0443970117396,-0.17797225186766275,1.0070117395944505,2109.5798499464095,176.3607257203842,5.0
2022,Jake Odorizzi,ATL,0,0,1,3.0,6.0,9.0,0.0,0.143,0.6,0.286,0.0,6.0,5.78,7.75,543606,-0.9943437152391545,5.976979977753059,54.37069521690767,88.5,-0.4644605116796441,1.041729699666296,1990.154616240267,193.61790878754172,6.0
2024,Cristopher Sánchez,PHI,0,0,1,5.0,9.0,1.8,1.8,0.286,0.87,0.4,0.25,3.6,4.37,2.98,650911,1.879120486235252,6.1817340007150525,53.52924204504827,89.42438326778691,1.2201751877011082,0.2678190918841616,2062.055436337625,149.181330472103,4.0
2018,Clayton Kershaw,LAD,2,3,6,30.0,7.8,2.1,1.2,0.259,0.657,0.524,0.1669999999999999,4.2,3.96,3.55,477132,1.2341864406779661,6.271139830508474,54.300572033898305,86.70542372881356,-0.20679661016949152,0.8387669491525424,2455.5137887144674,210.01228813559322,5.0
2018,Steve Cishek,CHC,0,0,1,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.16,3.16,518553,-3.531875540190147,4.086828003457217,53.247614520311146,85.47657735522904,-0.3108470181503889,0.2122990492653414,2367.157439446367,188.40535868625756,4.0
2024,Héctor Neris,HOU,0,0,1,0.2,27.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.67,1.67,593576,-1.4728769841269842,6.080426587301587,54.34186507936508,88.53630952380954,-0.7810813492063492,0.7663194444444444,1851.0327706057597,232.78152929493544,4.0
2023,Jordan Hicks,TOR,0,0,1,1.0,18.0,18.0,0.0,0.5,1.0,1.0,0.0,0.0,5.26,5.26,663855,-1.8158041329739443,5.934411500449237,53.956046720575024,96.87789757412399,-0.7000089847259658,0.5921922731356694,2225.321955719557,178.88007380073802,5.0
2022,Nick Nelson,PHI,0,0,1,1.0,0.0,18.0,0.0,0.0,1.0,0.3329999999999999,0.0,0.0,9.11,12.07,656793,-2.3645514950166113,5.827790697674418,54.281677740863785,91.76436877076412,-0.5518687707641197,0.8389700996677741,2034.1013289036546,202.71262458471762,5.0
2018,Tony Sipp,HOU,0,0,3,1.1,13.5,13.5,0.0,0.333,1.0,0.3329999999999999,0.0,0.0,4.66,5.9,448609,2.6859904153354632,6.002843450479234,54.6320607028754,86.88594249201277,0.45808306709265173,0.8243769968051118,1947.0420168067226,154.63578274760383,4.0
2017,Dallas Keuchel,HOU,2,2,5,27.2,10.41,2.6,0.65,0.324,0.695,0.569,0.133,3.58,2.65,2.68,572971,1.0612562814070352,6.150031978072179,54.26494746459571,85.28830516217451,0.28377341251713106,0.5610552763819096,2013.4383624655013,168.15395157606213,5.0
